순,이름,팀/포지션,정렬용,출장,이닝,RE24타격,RE24주루,RE24,REW,WPA타격,WPA주루,WPAPlus,WPAMinus,WPA,pLI,WPA/LI,Clutch
17,노경은,23S, 1.75 , 76 , 83.0 , 13.20 , -2.67 , 10.53 , 1.06 , 2.14 , -0.39 , 11.29 , -9.53 , 1.75 , 1.78 , 0.63 , 0.36 
18,김명신,23두, 1.62 , 70 , 79.0 , 10.99 , 0.05 , 11.04 , 1.12 , 1.60 , 0.03 , 7.19 , -5.57 , 1.62 , 1.19 , 1.01 , 0.36 
19,플럿코,23L, 1.61 , 21 , 123.1 , 29.57 , 0.12 , 29.70 , 3.00 , 1.61 , 0.00 , 9.18 , -7.57 , 1.61 , 0.98 , 1.98 , -0.33 
20,반즈,23롯, 1.54 , 30 , 170.1 , 20.74 , 1.08 , 21.82 , 2.20 , 1.54 , -0.00 , 13.31 , -11.77 , 1.54 , 1.02 , 1.16 , 0.35 
21,윌커슨,23롯, 1.51 , 13 , 79.2 , 16.67 , -0.61 , 16.06 , 1.62 , 1.59 , -0.07 , 6.36 , -4.85 , 1.51 , 1.03 , 1.17 , 0.31 
22,주현상,23한, 1.41 , 55 , 59.2 , 19.43 , 0.15 , 19.58 , 1.98 , 1.40 , 0.01 , 4.13 , -2.72 , 1.41 , 0.96 , 1.66 , -0.18 
23,김재웅,23키, 1.35 , 67 , 59.2 , 5.09 , 2.08 , 7.17 , 0.72 , 1.11 , 0.23 , 7.38 , -6.03 , 1.35 , 1.64 , 0.74 , 0.08 
24,이용찬,23N, 1.31 , 60 , 61.0 , 2.89 , 1.76 , 4.66 , 0.47 , 1.13 , 0.18 , 8.71 , -7.40 , 1.31 , 1.84 , 0.74 , -0.03 
25,엘리아스,23S, 1.25 , 22 , 131.1 , 13.72 , 2.57 , 16.29 , 1.65 , 1.03 , 0.22 , 10.70 , -9.45 , 1.25 , 1.04 , 0.80 , 0.40 
26,류진욱,23N, 1.13 , 70 , 67.0 , 20.07 , -0.91 , 19.16 , 1.94 , 1.33 , -0.20 , 6.28 , -5.14 , 1.13 , 1.24 , 1.60 , -0.68 
27,손동현,23K, 1.11 , 64 , 73.2 , 14.77 , -1.53 , 13.25 , 1.34 , 1.38 , -0.28 , 7.43 , -6.32 , 1.11 , 1.31 , 0.42 , 0.42 
28,김영규,23N, 1.08 , 63 , 61.2 , 14.39 , -4.67 , 9.71 , 0.98 , 1.75 , -0.67 , 5.72 , -4.64 , 1.08 , 1.18 , 1.12 , -0.21 
29,구창모,23N, 1.05 , 11 , 51.2 , 11.04 , -0.28 , 10.76 , 1.09 , 1.07 , -0.03 , 3.97 , -2.92 , 1.05 , 1.02 , 0.86 , 0.17 
30,임찬규,23L, 1.01 , 30 , 144.2 , 18.12 , -0.32 , 17.80 , 1.80 , 1.07 , -0.07 , 10.57 , -9.56 , 1.01 , 0.95 , 0.23 , 0.83 
31,김광현,23S, 0.92 , 30 , 168.1 , 17.79 , 2.75 , 20.53 , 2.07 , 0.68 , 0.24 , 13.44 , -12.52 , 0.92 , 1.06 , 0.54 , 0.33 
,박상원,23한, 0.92 , 55 , 61.2 , 1.44 , -2.21 , -0.77 , -0.08 , 1.40 , -0.48 , 9.17 , -8.25 , 0.92 , 1.99 , -0.09 , 0.55 
33,엄상백,23K, 0.86 , 20 , 111.2 , 17.36 , -1.57 , 15.79 , 1.60 , 1.10 , -0.23 , 8.44 , -7.58 , 0.86 , 0.99 , 1.48 , -0.61 
34,박세웅,23롯, 0.84 , 27 , 154.0 , 19.15 , -2.18 , 16.97 , 1.71 , 1.12 , -0.28 , 12.16 , -11.32 , 0.84 , 1.06 , 1.22 , -0.43 
35,최원태,23키L, 0.84 , 26 , 146.2 , 9.71 , -1.72 , 8.00 , 0.81 , 1.11 , -0.28 , 10.82 , -9.98 , 0.84 , 0.99 , 0.74 , 0.11 
36,정해영,23K, 0.70 , 52 , 49.1 , 5.23 , 1.10 , 6.33 , 0.64 , 0.72 , -0.01 , 6.97 , -6.26 , 0.70 , 2.00 , 0.34 , 0.02 
37,원태인,23삼, 0.67 , 26 , 150.0 , 22.43 , -1.17 , 21.27 , 2.15 , 0.81 , -0.13 , 11.33 , -10.66 , 0.67 , 0.99 , 0.82 , -0.14 
38,이태양,23한, 0.65 , 50 , 100.1 , 6.64 , -0.73 , 5.91 , 0.60 , 0.80 , -0.14 , 6.89 , -6.24 , 0.65 , 0.89 , -0.16 , 0.89 
39,윤영철,23K, 0.63 , 25 , 122.2 , 10.71 , -0.10 , 10.61 , 1.07 , 0.69 , -0.05 , 9.04 , -8.41 , 0.63 , 0.95 , -0.00 , 0.68 
40,오승환,23삼, 0.63 , 58 , 62.2 , 2.97 , 0.52 , 3.49 , 0.35 , 0.50 , 0.14 , 8.41 , -7.77 , 0.63 , 1.87 , 0.50 , -0.16 
41,백정현,23삼, 0.60 , 18 , 100.2 , 14.40 , -1.13 , 13.28 , 1.34 , 0.74 , -0.13 , 7.10 , -6.50 , 0.60 , 0.98 , 0.97 , -0.35 
42,김상수,23롯, 0.60 , 66 , 52.0 , 13.86 , 0.96 , 14.82 , 1.50 , 0.44 , 0.16 , 5.13 , -4.53 , 0.60 , 1.32 , 0.41 , 0.04 
43,맥카티,23S, 0.59 , 24 , 130.0 , 10.43 , 2.63 , 13.06 , 1.32 , 0.35 , 0.23 , 10.07 , -9.49 , 0.59 , 1.02 , 0.92 , -0.35 
44,윤대경,23한, 0.58 , 47 , 47.2 , 11.47 , -0.49 , 10.98 , 1.11 , 0.71 , -0.13 , 2.58 , -2.00 , 0.58 , 0.64 , 0.89 , 0.02 
45,임창민,23키, 0.55 , 51 , 46.2 , 4.81 , -0.27 , 4.54 , 0.46 , 0.81 , -0.26 , 7.26 , -6.71 , 0.55 , 2.15 , 0.13 , 0.13 
46,태너,23N, 0.55 , 11 , 64.2 , 11.59 , -0.15 , 11.44 , 1.16 , 0.56 , -0.01 , 4.43 , -3.89 , 0.55 , 0.93 , 0.89 , -0.30 
47,수아레즈,23삼, 0.51 , 19 , 108.0 , 10.12 , -0.84 , 9.28 , 0.94 , 0.62 , -0.11 , 7.74 , -7.24 , 0.51 , 1.01 , 0.10 , 0.40 
48,나균안,23롯, 0.46 , 23 , 130.1 , 13.45 , -2.23 , 11.23 , 1.13 , 0.72 , -0.25 , 10.19 , -9.73 , 0.46 , 1.05 , -0.06 , 0.50 
49,최승용,23두, 0.44 , 34 , 111.0 , 9.40 , -0.10 , 9.29 , 0.94 , 0.46 , -0.02 , 8.40 , -7.96 , 0.44 , 1.01 , -0.11 , 0.54 
